date,region,channel,sales_usd,units_sold,discount_rate,customer_satisfaction,marketing_spend,returns
2023-02-14,North,Online,5861.03,481,0.268,3.25,625.14,19
2023-02-15,South,Retail,6914.89,500,0.185,3.59,800.07,10
2023-02-16,West,Online,5929.69,434,0.165,3.66,829.2,19
2023-02-17,West,Retail,6125.13,441,0.26,4.46,550.97,10
2023-02-18,East,Online,6924.95,495,0.218,3.34,572.55,37
2023-02-19,East,Retail,6158.95,434,0.025,4.11,314.61,12
2023-02-20,South,Online,7052.0,547,0.205,3.97,935.48,8
2023-02-21,North,Online,6276.38,478,0.323,3.75,816.54,28
2023-02-22,South,Wholesale,7206.17,503,0.184,4.19,435.58,32
2023-02-23,East,Retail,7586.44,509,0.021,3.77,816.95,45
2023-02-24,East,Online,7224.24,562,0.315,3.78,696.4,34
2023-02-25,East,Wholesale,7270.06,457,0.081,3.64,449.81,18
2023-02-26,East,Online,6756.86,402,0.103,4.02,,33
2023-02-27,North,Wholesale,7311.7,484,0.066,3.98,522.56,28
2023-02-28,South,Retail,7370.37,481,0.132,3.46,418.07,8
2023-03-01,North,Online,6356.38,469,0.303,3.25,695.93,28
2023-03-02,South,Online,6700.64,483,0.208,3.59,830.12,44
2023-03-03,South,Online,6595.48,442,0.082,3.41,351.17,20
2023-03-04,West,Retail,5690.69,493,0.351,3.63,659.39,18
2023-03-05,South,Retail,5195.66,426,0.352,4.01,536.34,9
2023-03-06,North,Online,7284.72,564,0.348,3.5,439.46,13
2023-03-07,North,Online,6113.14,445,0.096,3.63,411.12,21
2023-03-08,East,Wholesale,6235.89,417,0.18,3.65,665.98,26
2023-03-09,East,Wholesale,5482.96,475,0.394,3.89,436.64,8
2023-03-10,North,Retail,6860.11,516,0.309,2.96,986.7,48
2023-03-11,North,Online,7115.95,496,0.011,3.45,938.41,38
2023-03-12,East,Online,8273.64,524,0.026,3.69,1227.45,32
2023-03-13,North,Online,6205.31,404,0.186,3.99,471.4,34
2023-03-14,West,Wholesale,6214.66,511,0.364,3.48,913.38,8
2023-03-15,East,Online,5976.76,452,0.215,3.06,556.58,23
2023-03-16,North,Retail,8173.13,557,0.199,3.81,692.69,37
2023-03-17,North,Online,6269.53,400,0.042,3.43,345.04,33
2023-03-18,West,Retail,6598.7,526,0.263,3.26,364.75,42
2023-03-19,South,Retail,6559.05,467,0.329,3.43,781.85,16
2023-03-20,South,Wholesale,7084.32,552,0.152,3.56,678.63,52
2023-03-21,West,Online,6068.28,439,0.31,3.43,440.87,9
2023-03-22,West,Online,5827.94,484,0.386,2.95,649.21,43
2023-03-23,West,Online,7054.0,476,0.082,3.88,531.07,46
2023-03-24,East,Wholesale,6441.95,489,0.209,3.99,694.2,12
2023-03-25,South,Wholesale,7613.83,514,0.115,3.8,654.19,38
2023-03-26,North,Retail,7630.94,567,0.317,3.26,1009.99,7
2023-03-27,East,Retail,6057.46,451,0.231,3.54,800.01,20
2023-03-28,East,Retail,5406.77,381,0.254,3.59,528.43,21
2023-03-29,South,Online,6061.04,490,0.319,3.77,515.68,30
2023-03-30,West,Wholesale,8600.62,589,0.158,3.79,741.86,55
2023-03-31,North,Online,5414.63,427,0.366,3.37,707.0,30
2023-04-01,South,Online,7661.59,523,0.213,,634.52,27
2023-04-02,North,Retail,8328.97,491,0.063,3.72,590.57,40
2023-04-03,South,Online,5861.87,440,0.278,,342.74,42
2023-04-04,North,Online,6479.79,567,0.317,3.79,626.4,6
2023-04-05,North,Retail,8001.97,582,0.127,3.82,785.9,57
2023-04-06,North,Online,5742.92,450,0.343,3.6,770.07,8
2023-04-07,East,Retail,5785.1,450,0.362,4.0,417.24,37
2023-04-08,East,Online,6382.89,448,0.111,3.7,562.33,15
2023-04-09,East,Online,5144.81,438,0.393,3.31,673.15,9
2023-04-10,West,Online,6502.7,409,0.056,3.99,860.71,20
2023-04-11,South,Online,5973.74,447,0.081,3.78,528.44,30
2023-04-12,North,Retail,6959.43,500,0.074,3.43,667.5,22
2023-04-13,West,Online,5400.56,453,0.358,3.42,433.82,6
2023-04-14,North,Retail,6408.53,492,0.262,3.65,918.06,31
2023-04-15,West,Online,5755.08,396,0.061,3.7,356.03,36
2023-04-16,North,Retail,6783.94,507,0.176,3.62,972.65,22
2023-04-17,West,Wholesale,6870.97,525,0.246,3.65,813.43,15
2023-04-18,North,Retail,5474.4,361,0.033,4.06,564.72,17
2023-04-19,West,Online,6139.78,462,0.353,3.87,327.04,6
2023-04-20,South,Online,6825.38,522,0.321,3.61,665.88,43
2023-04-21,West,Online,5552.49,457,0.202,3.83,504.03,38
2023-04-22,North,Retail,6836.8,495,0.387,3.24,452.06,31
2023-04-23,East,Online,6843.56,445,0.167,3.66,,18
2023-04-24,West,Online,5270.65,435,0.394,4.08,775.39,35
2023-04-25,South,Retail,6130.43,463,0.267,3.47,651.17,27
2023-04-26,East,Online,6601.15,496,0.254,3.28,801.88,41
2023-04-27,East,Retail,6931.07,482,0.066,3.34,394.0,32
2023-04-28,South,Online,6204.46,477,0.353,3.21,569.36,38
2023-04-29,East,Online,5815.92,466,0.171,3.3,358.47,29
2023-04-30,East,Retail,6991.22,431,0.065,3.42,777.98,20
2023-05-01,West,Online,5938.19,372,0.005,3.11,854.2,35
2023-05-02,North,Retail,6206.73,455,0.224,3.53,721.08,26
2023-05-03,North,Online,5679.32,371,0.211,3.79,327.59,23
2023-05-04,West,Online,5545.76,421,0.288,3.25,473.98,12
2023-05-05,West,Wholesale,6615.86,562,0.356,3.98,695.1,37
2023-05-06,South,Retail,7801.26,527,0.032,,704.62,32
2023-05-07,East,Retail,6432.98,494,0.293,3.83,857.93,13
2023-05-08,North,Online,5937.03,372,0.075,3.32,780.52,5
2023-05-09,North,Retail,5618.75,424,0.343,3.77,624.71,27
2023-05-10,South,Online,6689.95,500,0.328,3.18,584.34,39
2023-05-11,South,Online,6365.45,458,0.216,3.78,480.81,26
2023-05-12,East,Wholesale,7613.03,602,0.284,3.56,461.25,18
2023-05-13,North,Online,6866.05,499,0.126,3.67,586.98,34
2023-05-14,West,Wholesale,6484.97,436,0.188,3.15,592.19,7
2023-05-15,West,Online,5643.05,449,0.329,3.23,663.52,22
